java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold2/train.txt -ranker 2 -test MSLR-WEB10K/Fold2/test.txt -validate MSLR-WEB10K/Fold2/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold2/train.txt
Test data:	MSLR-WEB10K/Fold2/test.txt
Validation data:	MSLR-WEB10K/Fold2/vali.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 100
No. of threshold candidates: 10

Reading feature file [MSLR-WEB10K/Fold2/train.txt]... [Done.]            
(6000 ranked lists, 716683 entries read)
Reading feature file [MSLR-WEB10K/Fold2/vali.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Reading feature file [MSLR-WEB10K/Fold2/test.txt]... [Done.]            
(2000 ranked lists, 241988 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
76      | 115      | -19.225   | 0.0052    | 0.3418    | 0.3287    | 
77      | 129      | 30.8      | 0.0051    | 0.3415    | 0.3286    | 
78      | 109      | 14.4397   | 0.0051    | 0.3417    | 0.329     | 
79      | 107      | 14.7495   | 0.0049    | 0.3414    | 0.3292    | 
80      | 116      | -18.5667  | 0.0049    | 0.3415    | 0.3291    | 
81      | 129      | 30.8      | 0.0048    | 0.3415    | 0.3288    | 
82      | 115      | -19.225   | 0.0046    | 0.3416    | 0.3288    | 
83      | 129      | 30.8      | 0.0045    | 0.3416    | 0.3289    | 
84      | 132      | 26.3      | 0.0045    | 0.3412    | 0.3285    | 
85      | 131      | 26214.6   | 0.0047    | 0.3407    | 0.3285    | 
86      | 3        | 2.7       | 0.0045    | 0.3407    | 0.3285    | 
87      | 107      | 14.7495   | 0.0044    | 0.3406    | 0.3284    | 
88      | 60       | 0.0801    | 0.0044    | 0.3403    | 0.3282    | 
89      | 116      | -18.5667  | 0.0042    | 0.3402    | 0.328     | 
90      | 129      | 30.8      | 0.0042    | 0.3401    | 0.328     | 
91      | 105      | 0.8       | 0.0041    | 0.3402    | 0.328     | 
92      | 130      | 58990.6   | 0.0042    | 0.3408    | 0.3283    | 
93      | 2        | 1.8       | 0.004     | 0.3408    | 0.3286    | 
94      | 48       | 0.475     | 0.004     | 0.3406    | 0.3283    | 
95      | 129      | 30.8      | 0.004     | 0.3406    | 0.3283    | 
96      | 115      | -19.225   | 0.0039    | 0.3406    | 0.3283    | 
97      | 64       | 0.1235    | 0.0039    | 0.3404    | 0.3289    | 
98      | 125      | -35.1055  | 0.0039    | 0.3404    | 0.3289    | 
99      | 125      | -35.1055  | 0.0038    | 0.3406    | 0.329     | 
100     | 125      | -35.1055  | 0.0038    | 0.3407    | 0.3291    | 
--------------------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.3436
NDCG@10 on validation data: 0.3298
---------------------------------
NDCG@10 on test data: 0.3253
