java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold1/train.txt -ranker 2 -test MSLR-WEB10K/Fold1/test.txt -validate MSLR-WEB10K/Fold1/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold1/train.txt
Test data:	MSLR-WEB10K/Fold1/test.txt
Validation data:	MSLR-WEB10K/Fold1/vali.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 100
No. of threshold candidates: 10

Reading feature file [MSLR-WEB10K/Fold1/train.txt]... [Done.]            
(6000 ranked lists, 723412 entries read)
Reading feature file [MSLR-WEB10K/Fold1/vali.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Reading feature file [MSLR-WEB10K/Fold1/test.txt]... [Done.]            
(2000 ranked lists, 241521 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
74      | 108      | 25.3757   | 0.0049    | 0.3381    | 0.3335    | 
75      | 2        | 1.4       | 0.0048    | 0.3381    | 0.3333    | 
76      | 129      | 17.8      | 0.0047    | 0.3382    | 0.3331    | 
77      | 60       | 0.0801    | 0.0046    | 0.3379    | 0.3333    | 
78      | 105      | 0.8       | 0.0046    | 0.3376    | 0.3334    | 
79      | 130      | 6643.4    | 0.0046    | 0.3382    | 0.3342    | 
80      | 108      | 25.3757   | 0.0045    | 0.3382    | 0.3341    | 
81      | 115      | -32.0689  | 0.0044    | 0.3383    | 0.3343    | 
82      | 115      | -32.0689  | 0.0044    | 0.3384    | 0.3342    | 
83      | 115      | -32.0689  | 0.0043    | 0.3384    | 0.3343    | 
84      | 48       | 0.6       | 0.0043    | 0.3381    | 0.3348    | 
85      | 115      | -32.0689  | 0.0043    | 0.3382    | 0.3349    | 
86      | 115      | -32.0689  | 0.0042    | 0.3383    | 0.335     | 
87      | 115      | -16.0345  | 0.0042    | 0.3383    | 0.3348    | 
88      | 115      | -32.0689  | 0.0042    | 0.3384    | 0.3349    | 
89      | 115      | -32.0689  | 0.0041    | 0.3385    | 0.335     | 
90      | 129      | 17.8      | 0.0041    | 0.3386    | 0.3349    | 
91      | 132      | 26.3      | 0.0041    | 0.3379    | 0.3348    | 
92      | 115      | -32.0689  | 0.0041    | 0.3379    | 0.3348    | 
93      | 2        | 1.4       | 0.004     | 0.3379    | 0.335     | 
94      | 115      | -32.0689  | 0.004     | 0.338     | 0.335     | 
95      | 115      | -32.0689  | 0.004     | 0.338     | 0.3351    | 
96      | 108      | 25.3757   | 0.0039    | 0.3381    | 0.3351    | 
97      | 115      | -32.0689  | 0.0039    | 0.3382    | 0.3352    | 
98      | 115      | -32.0689  | 0.0039    | 0.3383    | 0.3351    | 
99      | 130      | 58990.6   | 0.0039    | 0.3386    | 0.3355    | 
100     | 115      | -32.0689  | 0.0038    | 0.3386    | 0.3355    | 
--------------------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.3386
NDCG@10 on validation data: 0.3355
---------------------------------
NDCG@10 on test data: 0.3313
