java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold5/train.txt -ranker 2 -test MSLR-WEB10K/Fold5/test.txt -validate MSLR-WEB10K/Fold5/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold5/train.txt
Test data:	MSLR-WEB10K/Fold5/test.txt
Validation data:	MSLR-WEB10K/Fold5/vali.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 100
No. of threshold candidates: 10

Reading feature file [MSLR-WEB10K/Fold5/train.txt]... [Done.]            
(6000 ranked lists, 722602 entries read)
Reading feature file [MSLR-WEB10K/Fold5/vali.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Reading feature file [MSLR-WEB10K/Fold5/test.txt]... [Done.]            
(2000 ranked lists, 235259 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
43      | 64       | 0.12      | 0.0092    | 0.3387    | 0.3326    | 
44      | 106      | 31.0988   | 0.0089    | 0.3386    | 0.3331    | 
45      | 129      | 17.8      | 0.0087    | 0.3388    | 0.3336    | 
46      | 115      | -16.0345  | 0.0086    | 0.3388    | 0.3336    | 
47      | 130      | 6643.5    | 0.0087    | 0.339     | 0.3356    | 
48      | 108      | 21.9508   | 0.0083    | 0.3392    | 0.3351    | 
49      | 110      | 31.5572   | 0.0081    | 0.339     | 0.3349    | 
50      | 132      | 26.3      | 0.0081    | 0.3369    | 0.3341    | 
51      | 106      | 16.2315   | 0.008     | 0.3368    | 0.3344    | 
52      | 49       | 0.24      | 0.0078    | 0.3373    | 0.3349    | 
53      | 130      | 58991.5   | 0.0076    | 0.3382    | 0.3353    | 
54      | 107      | 10.4307   | 0.0076    | 0.3379    | 0.335     | 
55      | 129      | 17.8      | 0.0074    | 0.3379    | 0.3347    | 
56      | 123      | -16.8442  | 0.0073    | 0.338     | 0.3348    | 
57      | 106      | 31.0988   | 0.0071    | 0.338     | 0.3345    | 
58      | 115      | -16.0345  | 0.0067    | 0.3379    | 0.3345    | 
59      | 110      | 31.5572   | 0.0065    | 0.3381    | 0.3344    | 
60      | 129      | 17.8      | 0.0064    | 0.3383    | 0.3348    | 
61      | 108      | 21.9508   | 0.0063    | 0.3384    | 0.3351    | 
62      | 132      | 26.3      | 0.0062    | 0.3376    | 0.3344    | 
63      | 130      | 58991.5   | 0.0062    | 0.3381    | 0.3346    | 
64      | 107      | 15.6461   | 0.0061    | 0.3376    | 0.3343    | 
65      | 106      | 31.0988   | 0.0059    | 0.3376    | 0.334     | 
66      | 49       | 0.24      | 0.0059    | 0.338     | 0.3342    | 
67      | 123      | -16.8442  | 0.0058    | 0.3379    | 0.3344    | 
68      | 131      | 45874.8   | 0.0056    | 0.3378    | 0.3343    | 
69      | 107      | 15.6461   | 0.0055    | 0.3377    | 0.3341    | 
70      | 130      | 6643.5    | 0.0055    | 0.3382    | 0.3351    | 
71      | 110      | 16.5249   | 0.0056    | 0.3382    | 0.3352    | 
72      | 106      | 31.0988   | 0.0053    | 0.3382    | 0.3353    | 
73      | 129      | 17.8      | 0.0052    | 0.3382    | 0.3354    | 
74      | 50       | 0.1       | 0.0052    | 0.338     | 0.3348    | 
75      | 108      | 21.9508   | 0.005     | 0.3382    | 0.335     | 
76      | 115      | -16.0345  | 0.0049    | 0.3383    | 0.3348    | 
77      | 107      | 15.6461   | 0.0049    | 0.3381    | 0.3348    | 
78      | 132      | 26.3      | 0.0048    | 0.3376    | 0.3343    | 
79      | 110      | 31.5572   | 0.0046    | 0.3376    | 0.3345    | 
80      | 130      | 58991.5   | 0.0046    | 0.3379    | 0.335     | 
81      | 129      | 17.8      | 0.0046    | 0.338     | 0.3353    | 
82      | 123      | -16.8442  | 0.0046    | 0.338     | 0.3355    | 
83      | 107      | 15.6461   | 0.0044    | 0.338     | 0.335     | 
84      | 105      | 0.8       | 0.0043    | 0.3379    | 0.3352    | 
85      | 49       | 0.24      | 0.0042    | 0.338     | 0.3351    | 
86      | 130      | 19730.5   | 0.0041    | 0.3384    | 0.3354    | 
87      | 106      | 31.0988   | 0.0041    | 0.3385    | 0.3353    | 
88      | 107      | 15.6461   | 0.004     | 0.3384    | 0.335     | 
89      | 113      | -14.6692  | 0.004     | 0.3384    | 0.3352    | 
90      | 115      | -32.0689  | 0.0039    | 0.3384    | 0.3353    | 
91      | 129      | 17.8      | 0.0039    | 0.3386    | 0.3354    | 
92      | 115      | -32.0689  | 0.0039    | 0.3386    | 0.3354    | 
93      | 132      | 26.3      | 0.0038    | 0.3383    | 0.3355    | 
94      | 115      | -32.0689  | 0.0038    | 0.3383    | 0.3354    | 
95      | 120      | -27.8736  | 0.0038    | 0.3383    | 0.3354    | 
96      | 115      | -32.0689  | 0.0037    | 0.3383    | 0.3353    | 
97      | 113      | -29.3383  | 0.0037    | 0.3384    | 0.3353    | 
98      | 115      | -32.0689  | 0.0037    | 0.3383    | 0.3353    | 
99      | 54       | 0.12      | 0.0037    | 0.3382    | 0.3355    | 
100     | 115      | -16.0345  | 0.0036    | 0.3383    | 0.3354    | 
--------------------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.339
NDCG@10 on validation data: 0.3356
---------------------------------
NDCG@10 on test data: 0.3373
