java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold4/train.txt -ranker 2 -test MSLR-WEB10K/Fold4/test.txt -validate MSLR-WEB10K/Fold4/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold4/train.txt
Test data:	MSLR-WEB10K/Fold4/test.txt
Validation data:	MSLR-WEB10K/Fold4/vali.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 100
No. of threshold candidates: 10

Reading feature file [MSLR-WEB10K/Fold4/train.txt]... [Done.]            
(6000 ranked lists, 718768 entries read)
Reading feature file [MSLR-WEB10K/Fold4/vali.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Reading feature file [MSLR-WEB10K/Fold4/test.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
42      | 3        | 2.7       | 0.0088    | 0.3435    | 0.328     | 
43      | 107      | 14.7495   | 0.0085    | 0.3433    | 0.328     | 
44      | 129      | 17.8      | 0.0084    | 0.3432    | 0.3279    | 
45      | 60       | 0.0757    | 0.0085    | 0.3411    | 0.3276    | 
46      | 115      | -19.225   | 0.0084    | 0.3411    | 0.3276    | 
47      | 105      | 0.9       | 0.008     | 0.3409    | 0.3278    | 
48      | 130      | 58991.5   | 0.008     | 0.3419    | 0.3281    | 
49      | 116      | -18.5667  | 0.0078    | 0.342     | 0.3286    | 
50      | 132      | 26.3      | 0.0077    | 0.3387    | 0.3278    | 
51      | 107      | 14.7495   | 0.0076    | 0.3386    | 0.328     | 
52      | 3        | 2.7       | 0.0076    | 0.3389    | 0.3277    | 
53      | 129      | 17.8      | 0.0074    | 0.3389    | 0.3279    | 
54      | 115      | -19.225   | 0.0072    | 0.3387    | 0.3281    | 
55      | 131      | 45874.8   | 0.007     | 0.3387    | 0.3276    | 
56      | 49       | 0.2455    | 0.0069    | 0.3393    | 0.3278    | 
57      | 130      | 6643.5    | 0.0068    | 0.3392    | 0.3284    | 
58      | 3        | 2.7       | 0.0069    | 0.3393    | 0.3282    | 
59      | 107      | 14.7495   | 0.0067    | 0.3392    | 0.3282    | 
60      | 115      | -19.225   | 0.0066    | 0.3391    | 0.3283    | 
61      | 116      | -18.5667  | 0.0064    | 0.3391    | 0.3284    | 
62      | 60       | 0.0757    | 0.0062    | 0.3384    | 0.3276    | 
63      | 107      | 14.7495   | 0.006     | 0.3381    | 0.3277    | 
64      | 130      | 58991.5   | 0.006     | 0.339     | 0.3282    | 
65      | 3        | 2.7       | 0.006     | 0.3392    | 0.3281    | 
66      | 129      | 17.8      | 0.0059    | 0.3392    | 0.3287    | 
67      | 132      | 26.3      | 0.0059    | 0.3389    | 0.3285    | 
68      | 115      | -19.225   | 0.0059    | 0.3388    | 0.3286    | 
69      | 116      | -18.5667  | 0.0056    | 0.3388    | 0.3282    | 
70      | 107      | 14.7495   | 0.0054    | 0.3382    | 0.3282    | 
71      | 3        | 2.7       | 0.0053    | 0.3383    | 0.3282    | 
72      | 115      | -19.225   | 0.0052    | 0.3383    | 0.3283    | 
73      | 131      | 26214.6   | 0.0052    | 0.3376    | 0.3278    | 
74      | 49       | 0.2455    | 0.0051    | 0.338     | 0.328     | 
75      | 48       | 0.475     | 0.0049    | 0.338     | 0.328     | 
76      | 129      | 17.8      | 0.005     | 0.3382    | 0.3283    | 
77      | 130      | 52448.0   | 0.0048    | 0.3387    | 0.3285    | 
78      | 115      | -19.225   | 0.0048    | 0.3387    | 0.3285    | 
79      | 107      | 14.7495   | 0.0047    | 0.3384    | 0.3285    | 
80      | 132      | 26.3      | 0.0046    | 0.3377    | 0.3282    | 
81      | 105      | 0.8       | 0.0047    | 0.3378    | 0.328     | 
82      | 116      | -18.5667  | 0.0045    | 0.3379    | 0.3279    | 
83      | 3        | 2.7       | 0.0043    | 0.3379    | 0.3278    | 
84      | 80       | 163.9794  | 0.0043    | 0.3376    | 0.3281    | 
85      | 2        | 1.8       | 0.0043    | 0.3375    | 0.3282    | 
86      | 129      | 17.8      | 0.0042    | 0.3377    | 0.3283    | 
87      | 130      | 26274.0   | 0.0042    | 0.338     | 0.3288    | 
88      | 64       | 0.1235    | 0.0042    | 0.3381    | 0.329     | 
89      | 115      | -19.225   | 0.0041    | 0.3381    | 0.3292    | 
90      | 60       | 0.0757    | 0.004     | 0.3379    | 0.3287    | 
91      | 80       | 163.9794  | 0.0039    | 0.3378    | 0.3287    | 
92      | 3        | 2.7       | 0.0039    | 0.3379    | 0.3286    | 
93      | 107      | 14.7495   | 0.0038    | 0.3376    | 0.3287    | 
94      | 116      | -18.5667  | 0.0038    | 0.3376    | 0.3286    | 
95      | 109      | 16.7875   | 0.0037    | 0.3375    | 0.3287    | 
96      | 80       | 163.9794  | 0.0037    | 0.3375    | 0.3288    | 
97      | 130      | 58991.5   | 0.0036    | 0.3381    | 0.3289    | 
98      | 115      | -19.225   | 0.0036    | 0.3381    | 0.3289    | 
99      | 132      | 26.3      | 0.0035    | 0.3381    | 0.3288    | 
100     | 129      | 17.8      | 0.0036    | 0.338     | 0.3287    | 
--------------------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.3381
NDCG@10 on validation data: 0.3292
---------------------------------
NDCG@10 on test data: 0.3318
