java -Xmx5500m -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold3/train.txt -ranker 2 -test MSLR-WEB10K/Fold3/test.txt -validate MSLR-WEB10K/Fold3/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold3/train.txt
Test data:	MSLR-WEB10K/Fold3/test.txt
Validation data:	MSLR-WEB10K/Fold3/vali.txt
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 100
No. of threshold candidates: 10

Reading feature file [MSLR-WEB10K/Fold3/train.txt]... [Done.]            
(6000 ranked lists, 719111 entries read)
Reading feature file [MSLR-WEB10K/Fold3/vali.txt]... [Done.]            
(2000 ranked lists, 241988 entries read)
Reading feature file [MSLR-WEB10K/Fold3/test.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@10-T | NDCG@10-V | 
--------------------------------------------------------------------
31      | 105      | 0.9       | 0.0116    | 0.3469    | 0.3225    | 
32      | 3        | 2.7       | 0.0109    | 0.3469    | 0.3226    | 
33      | 107      | 14.7495   | 0.0109    | 0.346     | 0.3225    | 
34      | 115      | -19.225   | 0.0106    | 0.3462    | 0.3226    | 
35      | 116      | -18.5667  | 0.0103    | 0.3456    | 0.3228    | 
36      | 130      | 58991.5   | 0.0103    | 0.3469    | 0.3241    | 
37      | 129      | 16.6      | 0.0099    | 0.3469    | 0.3244    | 
38      | 109      | 14.0338   | 0.0098    | 0.347     | 0.3247    | 
39      | 107      | 14.7495   | 0.0096    | 0.3469    | 0.3245    | 
40      | 115      | -19.225   | 0.0095    | 0.3471    | 0.3246    | 
41      | 132      | 26.3      | 0.0094    | 0.3429    | 0.323     | 
42      | 130      | 6643.5    | 0.0095    | 0.3432    | 0.3246    | 
43      | 3        | 2.7       | 0.0095    | 0.3432    | 0.3245    | 
44      | 48       | 0.475     | 0.0092    | 0.3428    | 0.3243    | 
45      | 116      | -18.5667  | 0.0088    | 0.3429    | 0.3244    | 
46      | 107      | 14.7495   | 0.0085    | 0.3424    | 0.3245    | 
47      | 115      | -19.225   | 0.0084    | 0.3425    | 0.3244    | 
48      | 129      | 16.6      | 0.0084    | 0.3425    | 0.325     | 
49      | 60       | 0.0801    | 0.0081    | 0.3414    | 0.3245    | 
50      | 3        | 2.7       | 0.008     | 0.3414    | 0.3244    | 
51      | 130      | 58991.5   | 0.0079    | 0.3425    | 0.3255    | 
52      | 107      | 14.7495   | 0.0077    | 0.3423    | 0.3256    | 
53      | 115      | -19.225   | 0.0076    | 0.3424    | 0.3253    | 
54      | 131      | 45874.8   | 0.0075    | 0.342     | 0.3246    | 
55      | 116      | -18.5667  | 0.0073    | 0.3419    | 0.3248    | 
56      | 132      | 26.3      | 0.0073    | 0.3408    | 0.3245    | 
57      | 3        | 2.7       | 0.0071    | 0.3409    | 0.3244    | 
58      | 107      | 14.7495   | 0.0069    | 0.3407    | 0.3247    | 
59      | 115      | -19.225   | 0.0068    | 0.3409    | 0.3244    | 
60      | 130      | 45904.5   | 0.0068    | 0.3415    | 0.3251    | 
61      | 64       | 0.1235    | 0.0068    | 0.3415    | 0.3258    | 
62      | 129      | 16.6      | 0.0067    | 0.3415    | 0.3259    | 
63      | 3        | 2.7       | 0.0064    | 0.3415    | 0.3258    | 
64      | 115      | -19.225   | 0.0063    | 0.3415    | 0.3258    | 
65      | 107      | 14.7495   | 0.0061    | 0.3412    | 0.3261    | 
66      | 116      | -18.5667  | 0.006     | 0.3411    | 0.3258    | 
67      | 60       | 0.0801    | 0.0059    | 0.3409    | 0.3258    | 
68      | 129      | 16.6      | 0.0057    | 0.3409    | 0.3256    | 
69      | 109      | 14.0338   | 0.0056    | 0.3409    | 0.3258    | 
70      | 115      | -19.225   | 0.0055    | 0.3409    | 0.3259    | 
71      | 130      | 6643.5    | 0.0056    | 0.3418    | 0.3264    | 
72      | 3        | 2.7       | 0.0055    | 0.3417    | 0.3264    | 
73      | 132      | 26.3      | 0.0054    | 0.341     | 0.3256    | 
74      | 131      | 26214.6   | 0.0055    | 0.3405    | 0.3255    | 
75      | 105      | 0.8       | 0.0054    | 0.3405    | 0.3255    | 
76      | 48       | 0.475     | 0.0052    | 0.3404    | 0.325     | 
77      | 107      | 14.7495   | 0.0052    | 0.3401    | 0.325     | 
78      | 116      | -18.5667  | 0.005     | 0.34      | 0.3249    | 
79      | 130      | 58991.5   | 0.0049    | 0.3407    | 0.3253    | 
80      | 2        | 1.8       | 0.0048    | 0.3407    | 0.3255    | 
81      | 115      | -19.225   | 0.0047    | 0.3407    | 0.3256    | 
82      | 3        | 2.7       | 0.0046    | 0.3407    | 0.3254    | 
83      | 129      | 16.6      | 0.0046    | 0.3408    | 0.3253    | 
84      | 132      | 26.3      | 0.0045    | 0.3406    | 0.3252    | 
85      | 107      | 14.7495   | 0.0044    | 0.3403    | 0.3252    | 
86      | 115      | -19.225   | 0.0043    | 0.3404    | 0.3253    | 
87      | 60       | 0.0801    | 0.0042    | 0.34      | 0.3256    | 
88      | 116      | -18.5667  | 0.0041    | 0.34      | 0.3256    | 
89      | 130      | 58991.5   | 0.0041    | 0.3405    | 0.3258    | 
90      | 3        | 2.7       | 0.004     | 0.3405    | 0.3257    | 
91      | 7        | 0.8       | 0.004     | 0.3401    | 0.3255    | 
92      | 129      | 16.6      | 0.0038    | 0.34      | 0.3253    | 
93      | 115      | -19.225   | 0.0038    | 0.34      | 0.3254    | 
94      | 64       | 0.1235    | 0.0037    | 0.3403    | 0.3252    | 
95      | 107      | 14.7495   | 0.0036    | 0.3402    | 0.3255    | 
96      | 3        | 2.7       | 0.0036    | 0.3402    | 0.3254    | 
97      | 130      | 19730.5   | 0.0036    | 0.3405    | 0.3253    | 
98      | 131      | 52428.2   | 0.0035    | 0.3398    | 0.3255    | 
99      | 116      | -18.5667  | 0.0035    | 0.3397    | 0.3255    | 
100     | 132      | 26.3      | 0.0034    | 0.3394    | 0.3254    | 
--------------------------------------------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.3418
NDCG@10 on validation data: 0.3264
---------------------------------
NDCG@10 on test data: 0.3275
